time,x,y
2017-02-02T17:43:19.470596+00:00,558131,725748
2017-02-02T17:43:19.504316+00:00,550998,727532
2017-02-02T17:43:19.538036+00:00,540299,740014
2017-02-02T17:43:19.571756+00:00,536733,738231
2017-02-02T17:43:19.605476+00:00,531383,738231
2017-02-02T17:43:19.639196+00:00,529600,738231
2017-02-02T17:43:19.672916+00:00,526034,740014
2017-02-02T17:43:19.706636+00:00,524251,741797
2017-02-02T17:43:19.740356+00:00,522467,741797
2017-02-02T17:43:19.774076+00:00,522467,741797
2017-02-02T17:43:19.807796+00:00,524251,743580
2017-02-02T17:43:19.841516+00:00,526034,741797
2017-02-02T17:43:19.875236+00:00,527817,741797
2017-02-02T17:43:19.908956+00:00,531383,740014
2017-02-02T17:43:19.942675+00:00,534950,740014
2017-02-02T17:43:19.976395+00:00,538516,738231
2017-02-02T17:43:20.010115+00:00,536733,738231
2017-02-02T17:43:20.043835+00:00,538516,738231
2017-02-02T17:43:20.077555+00:00,536733,736447
2017-02-02T17:43:20.111275+00:00,533166,734664
2017-02-02T17:43:20.144995+00:00,531383,732881
2017-02-02T17:43:20.178715+00:00,531383,734664
2017-02-02T17:43:20.212435+00:00,529600,734664
2017-02-02T17:43:20.246155+00:00,527817,732881
2017-02-02T17:43:20.279875+00:00,526034,729315
2017-02-02T17:43:20.313595+00:00,524251,727532
2017-02-02T17:43:20.347315+00:00,517118,720399
2017-02-02T17:43:20.381035+00:00,511768,715049
2017-02-02T17:43:20.414755+00:00,504636,704350
2017-02-02T17:43:20.448475+00:00,502853,699001
2017-02-02T17:43:20.482194+00:00,495720,684736
2017-02-02T17:43:20.515914+00:00,490370,681169
2017-02-02T17:43:20.549634+00:00,485021,675820
2017-02-02T17:43:20.583354+00:00,477888,670470
2017-02-02T17:43:20.617074+00:00,474322,665121
2017-02-02T17:43:20.650794+00:00,472539,659771
2017-02-02T17:43:20.684514+00:00,470756,656205
2017-02-02T17:43:20.718234+00:00,468972,650855
2017-02-02T17:43:20.751954+00:00,468972,649072
2017-02-02T17:43:20.785674+00:00,468972,649072
2017-02-02T17:43:20.819394+00:00,468972,652639
2017-02-02T17:43:20.853114+00:00,468972,654422
2017-02-02T17:43:20.886834+00:00,472539,656205
2017-02-02T17:43:20.920554+00:00,476105,654422
2017-02-02T17:43:20.954274+00:00,479671,654422
2017-02-02T17:43:20.987994+00:00,481455,652639
2017-02-02T17:43:21.021714+00:00,486804,652639
2017-02-02T17:43:21.055433+00:00,493937,652639
2017-02-02T17:43:21.089153+00:00,501069,652639
2017-02-02T17:43:21.122873+00:00,509985,652639
2017-02-02T17:43:21.156593+00:00,517118,656205
2017-02-02T17:43:21.190313+00:00,520684,657988
2017-02-02T17:43:21.224033+00:00,520684,656205
2017-02-02T17:43:21.257753+00:00,522467,654422
2017-02-02T17:43:21.291473+00:00,526034,656205
2017-02-02T17:43:21.325193+00:00,526034,656205
2017-02-02T17:43:21.358913+00:00,527817,657988
