date,time,x,y
2/9/17,01:16.414966+00:00,396804,375499
2/9/17,01:16.448352+00:00,398135,375499
2/9/17,01:16.481739+00:00,398135,375499
2/9/17,01:16.515125+00:00,396804,375499
2/9/17,01:16.548511+00:00,396804,375499
2/9/17,01:16.581898+00:00,398135,375499
2/9/17,01:16.615284+00:00,396804,375499
2/9/17,01:16.648670+00:00,396804,375499
2/9/17,01:16.682057+00:00,391478,374167
2/9/17,01:16.715443+00:00,390146,374167
2/9/17,01:16.748829+00:00,388814,374167
2/9/17,01:16.782216+00:00,390146,374167
2/9/17,01:16.815602+00:00,390146,374167
2/9/17,01:16.848988+00:00,388814,374167
2/9/17,01:16.882375+00:00,390146,374167
2/9/17,01:16.915761+00:00,396804,374167
2/9/17,01:16.949147+00:00,396804,374167
2/9/17,01:16.982534+00:00,396804,374167
2/9/17,01:17.015920+00:00,390146,374167
2/9/17,01:17.049306+00:00,390146,374167
2/9/17,01:17.082693+00:00,391478,372836
2/9/17,01:17.116079+00:00,390146,374167
2/9/17,01:17.149465+00:00,388814,374167
2/9/17,01:17.182852+00:00,386151,372836
2/9/17,01:17.216238+00:00,380825,372836
2/9/17,01:17.249624+00:00,375499,372836
2/9/17,01:17.283011+00:00,382157,374167
2/9/17,01:17.316397+00:00,379494,372836
2/9/17,01:17.349783+00:00,368841,370173
2/9/17,01:17.383170+00:00,367509,370173
2/9/17,01:17.416556+00:00,376830,370173
2/9/17,01:17.449942+00:00,363515,368841
2/9/17,01:17.483329+00:00,374167,367509
2/9/17,01:17.516715+00:00,375499,366178
2/9/17,01:17.550101+00:00,376830,363515
2/9/17,01:17.583488+00:00,378162,362183
2/9/17,01:17.616874+00:00,380825,359520
2/9/17,01:17.650260+00:00,382157,356857
2/9/17,01:17.683647+00:00,383488,355525
2/9/17,01:17.717033+00:00,386151,352862
2/9/17,01:17.750419+00:00,378162,354194
2/9/17,01:17.783806+00:00,380825,351531
2/9/17,01:17.817192+00:00,391478,348868
2/9/17,01:17.850578+00:00,394141,347536
2/9/17,01:17.883965+00:00,398135,346205
2/9/17,01:17.917351+00:00,402130,343541
2/9/17,01:17.950737+00:00,407456,340878
2/9/17,01:17.984124+00:00,411451,338215
2/9/17,01:18.017510+00:00,415446,334221
2/9/17,01:18.050896+00:00,419440,328894
2/9/17,01:18.084283+00:00,426098,322237
2/9/17,01:18.117669+00:00,431424,316910
2/9/17,01:18.151055+00:00,438082,311584
2/9/17,01:18.184442+00:00,444740,307589
2/9/17,01:18.217828+00:00,450066,303595
2/9/17,01:18.251214+00:00,456724,299600
2/9/17,01:18.284601+00:00,463382,292942
2/9/17,01:18.317987+00:00,468708,288948
2/9/17,01:18.351373+00:00,472703,284953
2/9/17,01:18.384760+00:00,476697,283621
2/9/17,01:18.418146+00:00,480692,280958
2/9/17,01:18.451532+00:00,486018,278295
2/9/17,01:18.484919+00:00,491344,274300
2/9/17,01:18.518305+00:00,495339,268974
2/9/17,01:18.551691+00:00,500665,264980
2/9/17,01:18.585078+00:00,504660,260985
2/9/17,01:18.618464+00:00,508655,258322
2/9/17,01:18.651850+00:00,513981,256990
2/9/17,01:18.685237+00:00,523302,251664
2/9/17,01:18.718623+00:00,535286,242343
2/9/17,01:18.752009+00:00,540612,237017
2/9/17,01:18.785396+00:00,544607,233022
2/9/17,01:18.818782+00:00,545938,230359
2/9/17,01:18.852168+00:00,551264,223701
2/9/17,01:18.885555+00:00,557922,218375
2/9/17,01:18.918941+00:00,564580,213049
2/9/17,01:18.952327+00:00,572569,207723
2/9/17,01:18.985714+00:00,579227,203728
2/9/17,01:19.019100+00:00,583222,201065
2/9/17,01:19.052486+00:00,587217,197070
2/9/17,01:19.085873+00:00,592543,191744
2/9/17,01:19.119259+00:00,597869,187749
2/9/17,01:19.152645+00:00,605858,182423
2/9/17,01:19.186032+00:00,611185,178428
2/9/17,01:19.219418+00:00,613848,177097
2/9/17,01:19.252804+00:00,613848,175765
2/9/17,01:19.286191+00:00,615179,174434
2/9/17,01:19.319577+00:00,616511,174434
2/9/17,01:19.352963+00:00,616511,173102
2/9/17,01:19.386350+00:00,617842,173102
2/9/17,01:19.419736+00:00,620505,171770
2/9/17,01:19.453122+00:00,620505,170439
2/9/17,01:19.486509+00:00,616511,162450
2/9/17,01:19.519895+00:00,617842,161118
2/9/17,01:19.553281+00:00,617842,162450
2/9/17,01:19.586668+00:00,617842,162450
2/9/17,01:19.620054+00:00,617842,162450
2/9/17,01:19.653440+00:00,617842,162450
2/9/17,01:19.686827+00:00,619174,161118
2/9/17,01:19.720213+00:00,621837,158455
2/9/17,01:19.753599+00:00,621837,158455
2/9/17,01:19.786986+00:00,624500,154460
2/9/17,01:19.820372+00:00,625832,153129
2/9/17,01:19.853758+00:00,625832,153129
2/9/17,01:19.887145+00:00,625832,153129
2/9/17,01:19.920531+00:00,625832,153129
2/9/17,01:19.953917+00:00,625832,154460
2/9/17,01:19.987304+00:00,621837,157123
2/9/17,01:20.020690+00:00,617842,161118
2/9/17,01:20.054076+00:00,617842,161118
2/9/17,01:20.087463+00:00,619174,159786
2/9/17,01:20.120849+00:00,620505,157123
2/9/17,01:20.154235+00:00,621837,157123
2/9/17,01:20.187622+00:00,621837,157123
2/9/17,01:20.221008+00:00,621837,157123
2/9/17,01:20.254394+00:00,621837,157123
2/9/17,01:20.287781+00:00,620505,159786
2/9/17,01:20.321167+00:00,619174,159786
2/9/17,01:20.354553+00:00,620505,158455
2/9/17,01:20.387940+00:00,621837,157123
2/9/17,01:20.421326+00:00,621837,157123
2/9/17,01:20.454712+00:00,623169,155792
2/9/17,01:20.488099+00:00,623169,155792
2/9/17,01:20.521485+00:00,621837,157123
2/9/17,01:20.554871+00:00,623169,157123
2/9/17,01:20.588258+00:00,623169,155792
2/9/17,01:20.621644+00:00,621837,158455
2/9/17,01:20.655030+00:00,620505,162450
2/9/17,01:20.688417+00:00,619174,163781
2/9/17,01:20.721803+00:00,617842,161118
2/9/17,01:20.755189+00:00,620505,171770
2/9/17,01:20.788576+00:00,619174,173102
2/9/17,01:20.821962+00:00,616511,174434
2/9/17,01:20.855348+00:00,616511,175765
2/9/17,01:20.888735+00:00,615179,175765
2/9/17,01:20.922121+00:00,615179,177097
2/9/17,01:20.955507+00:00,615179,177097
2/9/17,01:20.988894+00:00,611185,182423
2/9/17,01:21.022280+00:00,611185,182423
2/9/17,01:21.055666+00:00,613848,179760
2/9/17,01:21.089053+00:00,617842,178428
2/9/17,01:21.122439+00:00,621837,175765
2/9/17,01:21.155825+00:00,623169,173102
2/9/17,01:21.189212+00:00,623169,173102
2/9/17,01:21.222598+00:00,621837,173102
2/9/17,01:21.255984+00:00,621837,173102
2/9/17,01:21.289371+00:00,620505,173102
2/9/17,01:21.322757+00:00,621837,173102
2/9/17,01:21.356143+00:00,619174,173102
2/9/17,01:21.389530+00:00,617842,173102
2/9/17,01:21.422916+00:00,617842,173102
2/9/17,01:21.456302+00:00,619174,173102
2/9/17,01:21.489689+00:00,619174,171770
2/9/17,01:21.523075+00:00,624500,167776
2/9/17,01:21.556461+00:00,623169,155792
2/9/17,01:21.589848+00:00,624500,154460
2/9/17,01:21.623234+00:00,624500,154460
2/9/17,01:21.656620+00:00,624500,154460
2/9/17,01:21.690007+00:00,624500,153129
2/9/17,01:21.723393+00:00,624500,153129
2/9/17,01:21.756779+00:00,624500,154460
2/9/17,01:21.790166+00:00,624500,154460
2/9/17,01:21.823552+00:00,623169,155792
2/9/17,01:21.856938+00:00,624500,166444
2/9/17,01:21.890325+00:00,624500,166444
2/9/17,01:21.923711+00:00,623169,167776
2/9/17,01:21.957097+00:00,619174,170439
2/9/17,01:21.990484+00:00,615179,161118
2/9/17,01:22.023870+00:00,612516,162450
2/9/17,01:22.057256+00:00,612516,162450
2/9/17,01:22.090643+00:00,612516,159786
2/9/17,01:22.124029+00:00,617842,155792
2/9/17,01:22.157415+00:00,620505,153129
2/9/17,01:22.190802+00:00,620505,153129
2/9/17,01:22.224188+00:00,621837,150466
2/9/17,01:22.257574+00:00,621837,150466
2/9/17,01:22.290961+00:00,620505,151797
2/9/17,01:22.324347+00:00,621837,151797
2/9/17,01:22.357733+00:00,623169,149134
2/9/17,01:22.391120+00:00,623169,147802
2/9/17,01:22.424506+00:00,624500,147802
2/9/17,01:22.457892+00:00,624500,147802
2/9/17,01:22.491279+00:00,624500,147802
2/9/17,01:22.524665+00:00,624500,147802
2/9/17,01:22.558051+00:00,624500,146471
2/9/17,01:22.591438+00:00,627163,143808
2/9/17,01:22.624824+00:00,625832,145139
2/9/17,01:22.658210+00:00,627163,143808
2/9/17,01:22.691597+00:00,628495,143808
2/9/17,01:22.724983+00:00,628495,142476
2/9/17,01:22.758369+00:00,628495,142476
2/9/17,01:22.791756+00:00,627163,143808
2/9/17,01:22.825142+00:00,627163,143808
2/9/17,01:22.858528+00:00,627163,143808
2/9/17,01:22.891915+00:00,625832,143808
2/9/17,01:22.925301+00:00,625832,143808
2/9/17,01:22.958687+00:00,627163,143808
2/9/17,01:22.992074+00:00,625832,143808
2/9/17,01:23.025460+00:00,625832,145139
2/9/17,01:23.058846+00:00,623169,146471
2/9/17,01:23.092233+00:00,621837,147802
2/9/17,01:23.125619+00:00,621837,147802
2/9/17,01:23.159005+00:00,623169,149134
2/9/17,01:23.192392+00:00,619174,153129
2/9/17,01:23.225778+00:00,617842,155792
2/9/17,01:23.259164+00:00,616511,157123
2/9/17,01:23.292551+00:00,615179,159786
2/9/17,01:23.325937+00:00,613848,161118
2/9/17,01:23.359323+00:00,611185,163781
2/9/17,01:23.392710+00:00,609853,165113
2/9/17,01:23.426096+00:00,605858,167776
2/9/17,01:23.459482+00:00,603195,167776
2/9/17,01:23.492869+00:00,601864,169107
2/9/17,01:23.526255+00:00,597869,171770
2/9/17,01:23.559641+00:00,593874,174434
2/9/17,01:23.593028+00:00,591211,178428
2/9/17,01:23.626414+00:00,591211,189081
2/9/17,01:23.659800+00:00,583222,198402
2/9/17,01:23.693187+00:00,575233,205059
2/9/17,01:23.726573+00:00,567243,213049
2/9/17,01:23.759959+00:00,559254,221038
2/9/17,01:23.793346+00:00,551264,229027
2/9/17,01:23.826732+00:00,545938,233022
2/9/17,01:23.860118+00:00,539280,238348
2/9/17,01:23.893505+00:00,532623,241011
2/9/17,01:23.926891+00:00,529960,242343
2/9/17,01:23.960277+00:00,525965,247669
2/9/17,01:23.993664+00:00,525965,249001
2/9/17,01:24.027050+00:00,525965,249001
2/9/17,01:24.060436+00:00,528628,247669
2/9/17,01:24.093823+00:00,529960,246338
2/9/17,01:24.127209+00:00,531291,243675
2/9/17,01:24.160595+00:00,529960,243675
2/9/17,01:24.193982+00:00,528628,247669
2/9/17,01:24.227368+00:00,528628,246338
2/9/17,01:24.260754+00:00,527296,249001
2/9/17,01:24.294141+00:00,525965,250332
2/9/17,01:24.327527+00:00,524633,251664
2/9/17,01:24.360913+00:00,521970,252996
